RA,Entrega 01,Entrega 02,Entrega 03
RA001,8.75,9.259259259,7.5
RA002,8.75,8.962962963,3.25
RA003,8.75,9.62962963,5.25
RA004,10,8.777777778,5.75
RA005,8.75,8.962962963,7
RA006,8.75,9.444444444,7.25
RA007,8.75,8.407407407,6.5
RA008,8.75,9.148148148,7.5
RA009,10,8.518518519,7
RA010,7.5,9.814814815,8
RA011,6.25,9.333333333,4.75
RA012,8.75,6,4.5
RA013,7.5,9.62962963,6.5
RA014,10,8.037037037,3.25
RA015,7.5,7.222222222,4
RA016,7.5,8.962962963,6.25
RA017,10,9.444444444,4.25
RA018,8.75,7.666666667,5.5
RA019,10,6.740740741,4.5
RA020,10,8.518518519,6.5
RA021,10,9.444444444,7.5
RA022,10,7.481481481,5.5
RA023,8.75,10,7.5
RA024,8.75,8.703703704,9
RA025,8.75,9.148148148,8.5
RA026,8.75,8.703703704,7
RA027,10,8.592592593,7.5
RA028,5,8.703703704,6.75
RA029,10,9.333333333,6.5
RA030,8.75,9.148148148,8.5
RA031,8.75,9.333333333,6.75
RA032,10,9.333333333,6.5
RA033,0,9.148148148,0
RA034,6.25,9.444444444,6.75
RA035,8.75,9.444444444,8.75
RA036,8.75,8.962962963,6.75
RA037,10,6.37037037,6.25
RA038,10,9.074074074,7.5
RA039,10,8.777777778,7.75
RA040,8.75,8.962962963,10
RA041,10,8.777777778,8.5
RA042,10,9.62962963,7
RA043,10,8.962962963,7
RA044,10,8.777777778,0
RA045,8.75,9.444444444,8.5
RA046,8.75,8.962962963,7.5
RA047,10,9.444444444,8
RA048,7.5,9.444444444,9
RA049,10,9.074074074,9
RA050,8.75,9.074074074,7
RA051,10,8.407407407,5.5
RA052,10,9.444444444,8.5
RA053,8.75,8.777777778,8.5
RA054,8.75,9.259259259,5.5
RA055,10,8.777777778,4.75
RA056,5,8.611111111,4.5
RA057,8.75,9.62962963,6
RA058,7.5,3.333333333,4.75
RA059,2.5,8.962962963,5.25
RA060,10,8.666666667,7.5
RA061,10,9.62962963,5
RA062,10,9.444444444,8.25
RA063,7.5,10,7.5
RA064,10,9.814814815,7
RA065,8.75,9.814814815,7.5
RA066,10,8.777777778,6.5
