RA;Entrega 01;Entrega 02;Entrega 03;Integrada;Pratica
RA012;7.5;10.0;7.1;4.2;6.6
RA029;8.0;10.0;8.2;8.5;7.7
RA003;8.5;0.0;8.9;7.8;7.9
RA021;8.0;10.0;7.5;7.1;8.0
RA002;0.0;10.0;6.4;6.7;8.0
RA023;7.5;10.0;8.2;5.2;8.1
RA014;6.2;10.0;8.6;5.6;8.1
RA032;8.5;10.0;8.2;7.3;8.1
RA009;8.0;10.0;5.7;7.7;8.2
RA052;8.5;10.0;10.0;7.5;8.2
RA028;8.0;10.0;8.2;6.3;8.3
RA031;9.0;10.0;7.5;5.5;8.3
RA039;9.0;10.0;8.2;7.2;8.3
RA034;8.5;10.0;8.2;6.2;8.4
RA027;9.0;10.0;7.1;7.1;8.4
RA004;8.9;10.0;0.0;7.1;8.5
RA044;9.0;10.0;8.9;7.2;8.6
RA008;6.9;10.0;4.6;6.2;8.6
RA011;8.5;10.0;6.1;5.7;8.6
RA018;7.5;10.0;7.5;6.2;8.6
RA035;8.4;10.0;8.6;7.8;8.6
RA026;9.0;10.0;7.1;6.7;8.8
RA015;7.0;10.0;7.9;7.5;8.9
RA020;8.0;10.0;7.5;6.5;8.9
RA030;9.0;10.0;7.5;7.6;8.9
RA055;9.0;10.0;10.0;8.1;8.9
RA001;9.0;0.0;0.0;7.3;9.0
RA053;8.8;10.0;10.0;6.8;9.0
RA033;8.5;10.0;8.2;6.3;9.1
RA024;8.4;10.0;7.5;5.8;9.1
RA060;10.0;10.0;10.0;8.5;9.1
RA013;7.2;10.0;7.5;7.7;9.2
RA047;8.0;10.0;10.0;7.5;9.3
RA019;8.0;10.0;7.5;7.3;9.3
RA037;8.8;10.0;8.2;6.6;9.3
RA045;9.0;10.0;8.9;5.8;9.3
RA048;9.5;10.0;8.6;6.6;9.3
RA050;9.0;10.0;9.3;7.9;9.3
RA016;8.5;10.0;6.4;7.7;9.4
RA040;9.5;10.0;7.9;7.1;9.4
RA006;0.0;10.0;9.6;7.9;9.6
RA017;7.5;10.0;7.5;6.1;9.6
RA038;10.0;10.0;7.1;8.9;9.6
RA042;9.5;10.0;8.2;7.3;9.6
RA049;8.5;10.0;9.6;8.1;9.6
RA059;10.0;10.0;10.0;7.0;9.6
RA010;8.4;10.0;6.1;6.5;9.6
RA022;8.9;10.0;6.8;7.6;9.8
RA041;9.9;10.0;7.5;8.3;9.8
RA056;9.5;10.0;10.0;7.8;9.8
RA057;9.5;10.0;10.0;7.0;9.8
RA058;9.5;10.0;10.0;8.9;9.8
RA063;10.0;10.0;10.0;8.2;9.8
RA043;10.0;10.0;7.9;8.7;9.8
RA051;8.5;10.0;10.0;6.9;9.8
RA005;9.0;10.0;0.0;5.7;10.0
RA007;0.0;10.0;10.0;7.7;10.0
RA025;9.5;10.0;6.4;6.7;10.0
RA036;9.5;10.0;7.5;9.2;10.0
RA046;8.0;10.0;10.0;8.4;10.0
RA054;9.0;10.0;10.0;5.0;10.0
RA061;10.0;10.0;10.0;8.8;10.0
RA062;10.0;10.0;10.0;8.3;10.0
